Handle,Post,Date
@JBasil_001,kenyapowercare disappointed customer ngong olepolos rd since yesterday evening dont power know break transformer guys ngong called havent respondedthats bullshit pay power hamtukopeshi banasort,17-Apr
@nhwaweru,kenyapowercare kenyapower perrenial power blackout days row faulty linetransformer along kariuki drive ruaka behind quickmart reprive ever get fixed meter,17-Apr
@_Joramthe45th,hello kenya power mwiki nd street near police station havent power week noticed transformer gone yesterday help,17-Apr
@MutheeGuantai,long take replace default transformer,17-Apr
@MissNjeri_,kenyapowercare transformer blew sunday night lights yet one bothered come check,17-Apr
@GathoniMirigo,kenyapowercare experiencing total darkness mwiki along ack road street transformer busted week blackout since tuesday last week help,17-Apr
@GathoniMirigo,kenyapowercare experiencing total darkness mwiki along ack road street transformer busted week blackout since tuesday last week,17-Apr
@boskeyTW,kenyapowercare kenyapoweryes githunguri area utawala power one week ruai office seems care yet left entire transformer without action word date kindly assist,17-Apr
@Raphael74600978,katelembo list affected since yesterday black served transformer located katelembo farmers society offices account number,17-Apr
@JKimKaranja,ruiru offices absolutely overwhelmed transformer capital stores lights go every single day lights every day pm pm following day getting weary,17-Apr
@Samuel_Mutuku,power section gachie river area including cavarino apartments recurrent issue getting fixed something transformer overloaded,17-Apr
@jobransupplies,utawala githumguri power since monday th april date people came took faulty transformer days since still total darkness,17-Apr
@venyanga,kenyapowercare power wholesale center mugutharuiru please send someone help check transformer,16-Apr
@Denish2642,kenyapowercare kenyapower th day power black citizentvkenya kindly talk cartel called kenyapower restore power utawala ack st monica parish area days straight due transformer malfunctioning,16-Apr
@merilyn____,least know transformer replaced,16-Apr
@kangetheantony1,kenyapowercare area around car wash area without electricity weeks technician came took away transformer never return back people okey heads mko sawa kweli,16-Apr
@BetmavenB,kenyapowercare kenyapower meter without power last weeks kenya want technicians came carted transformer returning,16-Apr
@Kimanzijk,hi customer care mtr without power weeks technician came carried away transformer happening kplc,16-Apr
@solomon71243602,kindly assist permanent solution fixing transformer fuse mulele plaza luanda vihiga county every two days week theres black emergency team mbaledo respond many hours reporting,16-Apr
@karunzi,kenyapowercare power since yesterday anwar mosque area near beach road near gichanga mogoya apartments mombasa nyali please assist resolve transformer working,16-Apr
